key,value,date
Antoine Dufour,0,2008-12
Antoine Dufour,0,2009-1
Antoine Dufour,0,2009-2
Antoine Dufour,0,2009-3
Antoine Dufour,0,2009-4
Antoine Dufour,0,2009-5
Antoine Dufour,0,2009-6
Antoine Dufour,0,2009-7
Antoine Dufour,0,2009-8
Antoine Dufour,0,2009-9
Antoine Dufour,0,2009-10
Antoine Dufour,0,2009-11
Antoine Dufour,0,2009-12
Antoine Dufour,0,2010-1
Antoine Dufour,0,2010-2
Antoine Dufour,0,2010-3
Antoine Dufour,0,2010-4
Antoine Dufour,0,2010-5
Antoine Dufour,0,2010-6
Antoine Dufour,0,2010-7
Antoine Dufour,0,2010-8
Antoine Dufour,0,2010-9
Antoine Dufour,0,2010-10
Antoine Dufour,0,2010-11
Antoine Dufour,0,2010-12
Antoine Dufour,0,2011-1
Antoine Dufour,0,2011-2
Antoine Dufour,0,2011-3
Antoine Dufour,0,2011-4
Antoine Dufour,0,2011-5
Antoine Dufour,0,2011-6
Antoine Dufour,0,2011-7
Antoine Dufour,0,2011-8
Antoine Dufour,0,2011-9
Antoine Dufour,0,2011-10
Antoine Dufour,0,2011-11
Antoine Dufour,0,2011-12
Antoine Dufour,0,2012-1
Antoine Dufour,0,2012-2
Antoine Dufour,0,2012-3
Antoine Dufour,0,2012-4
Antoine Dufour,0,2012-5
Antoine Dufour,0,2012-6
Antoine Dufour,0,2012-7
Antoine Dufour,0,2012-8
Antoine Dufour,0,2012-9
Antoine Dufour,0,2012-10
Antoine Dufour,0,2012-11
Antoine Dufour,0,2012-12
Antoine Dufour,1,2013-1
Antoine Dufour,0,2013-2
Antoine Dufour,0,2013-3
Antoine Dufour,0,2013-4
Antoine Dufour,0,2013-5
Antoine Dufour,0,2013-6
Antoine Dufour,0,2013-7
Antoine Dufour,0,2013-8
Antoine Dufour,0,2013-9
Antoine Dufour,0,2013-10
Antoine Dufour,0,2013-11
Antoine Dufour,0,2013-12
Antoine Dufour,0,2014-1
Antoine Dufour,0,2014-2
Antoine Dufour,0,2014-3
Antoine Dufour,0,2014-4
Antoine Dufour,0,2014-5
Antoine Dufour,0,2014-6
Antoine Dufour,0,2014-7
Antoine Dufour,0,2014-8
Antoine Dufour,0,2014-9
Antoine Dufour,0,2014-10
Antoine Dufour,0,2014-11
Antoine Dufour,0,2014-12
BS 2000,0,2008-8
BS 2000,0,2008-9
BS 2000,0,2008-10
BS 2000,0,2008-11
BS 2000,0,2008-12
BS 2000,0,2009-1
BS 2000,0,2009-2
BS 2000,0,2009-3
BS 2000,0,2009-4
BS 2000,0,2009-5
BS 2000,0,2009-6
BS 2000,0,2009-7
BS 2000,1,2009-8
BS 2000,0,2009-9
BS 2000,0,2009-10
BS 2000,0,2009-11
BS 2000,0,2009-12
BS 2000,0,2010-1
BS 2000,0,2010-2
BS 2000,0,2010-3
BS 2000,0,2010-4
BS 2000,0,2010-5
BS 2000,0,2010-6
BS 2000,0,2010-7
BS 2000,0,2010-8
BS 2000,0,2010-9
BS 2000,0,2010-10
BS 2000,0,2010-11
BS 2000,0,2010-12
BS 2000,0,2011-1
BS 2000,0,2011-2
BS 2000,0,2011-3
BS 2000,0,2011-4
BS 2000,0,2011-5
BS 2000,0,2011-6
BS 2000,0,2011-7
BS 2000,0,2011-8
BS 2000,0,2011-9
BS 2000,0,2011-10
BS 2000,0,2011-11
BS 2000,0,2011-12
BS 2000,0,2012-1
BS 2000,0,2012-2
BS 2000,0,2012-3
