key,value,date
Ducktails,17,2013-3
Ducktails,1,2013-4
Ducktails,0,2013-5
Ducktails,10,2013-6
Ducktails,5,2013-7
Ducktails,3,2013-8
Ducktails,2,2013-9
Ducktails,2,2013-10
Ducktails,0,2013-11
Ducktails,0,2013-12
Ducktails,3,2014-1
Ducktails,6,2014-2
Ducktails,2,2014-3
Ducktails,0,2014-4
Ducktails,0,2014-5
Ducktails,10,2014-6
Ducktails,28,2014-7
Ducktails,10,2014-8
Ducktails,0,2014-9
Ducktails,0,2014-10
Ducktails,0,2014-11
Ducktails,0,2014-12
Tennis,0,2013-1
Tennis,0,2013-2
Tennis,0,2013-3
Tennis,0,2013-4
Tennis,0,2013-5
Tennis,0,2013-6
Tennis,0,2013-7
Tennis,2,2013-8
Tennis,0,2013-9
Tennis,0,2013-10
Tennis,14,2013-11
Tennis,0,2013-12
Tennis,14,2014-1
Tennis,18,2014-2
Tennis,10,2014-3
Tennis,0,2014-4
Tennis,0,2014-5
Tennis,7,2014-6
Tennis,5,2014-7
Tennis,0,2014-8
Tennis,20,2014-9
Tennis,5,2014-10
Tennis,1,2014-11
Tennis,1,2014-12
